"filename", "language", "Markdown", "HTML", "YAML", "Swift", "JSON", "Dart", "C++", "XML", "CMake", "Properties", "comment", "blank", "total"
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner.xcworkspace\contents.xcworkspacedata.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\DebugProfile.entitlements.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\Release.entitlements.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\pubspec.yaml", "YAML", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 53, 15, 108
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 20, 109
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 12, 110
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 5, 15
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 6, 16
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 7, 16, 72
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 9, 34
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 10, 44
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 2, 17
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\resources\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\runner.exe.manifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 1, 15
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 10, 66
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 6, 20
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 24, 55, 289
"c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 31, 24, 103
"Total", "-", 319, 19, 43, 57, 127, 2099, 547, 748, 463, 8, 572, 664, 5666
